@RELATION "litere"

@ATTRIBUTE "NUME" STRING
@ATTRIBUTE "PRENUME" STRING
@ATTRIBUTE "TOTALSES" NUMERIC
@ATTRIBUTE "W0" NUMERIC
@ATTRIBUTE "W1" NUMERIC
@ATTRIBUTE "W2" NUMERIC
@ATTRIBUTE "W3" NUMERIC
@ATTRIBUTE "W4" NUMERIC
@ATTRIBUTE "W5" NUMERIC
@ATTRIBUTE "W6" NUMERIC
@ATTRIBUTE "WEEKENDPCT" NUMERIC
@ATTRIBUTE "MSG_TOTALSEND" NUMERIC
@ATTRIBUTE "MSG_TOTALRECV" NUMERIC
@ATTRIBUTE "MSG_MEANSEND" NUMERIC
@ATTRIBUTE "MSG_MEANRECV" NUMERIC
@ATTRIBUTE "MSG_TOTALSEND_WDS" NUMERIC
@ATTRIBUTE "MSG_TOTALRECV_WDS" NUMERIC
@ATTRIBUTE "GENDER" NUMERIC
@ATTRIBUTE "AGE" NUMERIC
@ATTRIBUTE "TOTALQUEST" NUMERIC
@ATTRIBUTE "GOODQUEST" NUMERIC
@ATTRIBUTE "QUESTPERC" NUMERIC
@ATTRIBUTE "TOTALHW" NUMERIC
@ATTRIBUTE "MEAN_TOTALHW_GRADE" NUMERIC
@ATTRIBUTE "MEAN_HOMEWORKS_GRADE" NUMERIC

@DATA
XXXXX,YYYYY,16,2,1,3,1,6,1,2,0.23076923076923078,0,10,0.0,328.0,0,225,0,23,146,67,45.0,6,0.0,0.0
XXXXX,YYYYY,157,22,26,31,32,21,10,15,0.1893939393939394,2509,27,169.0,292.0,52781,621,0,25,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,43,11,6,9,8,1,7,1,0.22857142857142856,0,11,0.0,377.0,0,277,0,26,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,11,5,2,0,1,1,1,1,0.2222222222222222,0,7,0.0,74.0,0,165,1,30,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,108,20,18,16,15,14,14,11,0.30120481927710846,10,6,254.0,220.0,313,182,0,31,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,322,58,55,56,54,33,32,34,0.2578125,12,11,198.0,237.0,625,531,0,22,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,91,11,12,14,12,14,13,15,0.4444444444444444,20,13,85.0,383.0,439,331,0,23,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,60,10,12,8,11,7,10,2,0.25,0,13,0.0,383.0,0,331,1,31,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,89,10,27,13,18,16,1,4,0.05952380952380952,12,12,132.0,346.0,388,274,1,23,146,67,45.0,26,1.5384615384615385,0.9523809523809523
XXXXX,YYYYY,3,0,0,1,1,1,0,0,0.0,0,13,0.0,383.0,0,331,1,23,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,328.0,0,225,1,30,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,11,1,3,0,1,1,2,3,0.8333333333333334,0,9,0.0,277.0,0,183,1,24,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,41,2,5,7,13,2,9,3,0.41379310344827586,0,13,0.0,383.0,0,331,0,23,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,268.0,0,222,0,27,72,9,12.0,0,0.0,0.0
XXXXX,YYYYY,2,0,0,1,1,0,0,0,0.0,0,11,0.0,333.0,0,260,1,31,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,222.0,0,260,1,26,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,45,2,7,12,13,3,4,4,0.21621621621621623,0,12,0.0,389.0,0,284,0,26,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,194.0,0,260,1,28,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,331.0,0,260,1,28,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,2,1,0,1,0,0,0,0,0.0,0,11,0.0,383.0,0,261,1,29,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,11,0.0,361.0,0,242,1,42,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,282.0,0,218,1,29,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,282.0,0,218,1,27,33,4,12.0,0,0.0,0.0
XXXXX,YYYYY,19,1,3,1,2,6,3,3,0.46153846153846156,38,11,3.0,361.0,912,242,1,24,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,1,0,0,1,0,0,0,0,0.0,0,12,0.0,389.0,0,284,0,34,184,62,33.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,282.0,0,218,1,34,33,4,12.0,0,0.0,0.0
